Date,@Home,Opponent,Outcome,Bulls_Points,Opp_Points,W,L,Streak
"Fri, Nov 3, 1995",0,Charlotte Hornets,W,105,91,1,0,W 1
"Sat, Nov 4, 1995",0,Boston Celtics,W,107,85,2,0,W 2
"Tue, Nov 7, 1995",0,Toronto Raptors,W,117,108,3,0,W 3
"Thu, Nov 9, 1995",1,Cleveland Cavaliers,W,106,88,4,0,W 4
"Sat, Nov 11, 1995",0,Portland Trail Blazers,W,110,106,5,0,W 5
"Tue, Nov 14, 1995",1,Orlando Magic,L,88,94,5,1,L 1
"Wed, Nov 15, 1995",0,Cleveland Cavaliers,W,113,94,6,1,W 1
"Fri, Nov 17, 1995",0,New Jersey Nets,W,109,94,7,1,W 2
"Tue, Nov 21, 1995",1,Dallas Mavericks,W,108,102,8,1,W 3
"Wed, Nov 22, 1995",1,San Antonio Spurs,W,103,94,9,1,W 4
"Fri, Nov 24, 1995",1,Utah Jazz,W,90,85,10,1,W 5
"Sun, Nov 26, 1995",1,Seattle SuperSonics,L,92,97,10,2,L 1
"Mon, Nov 27, 1995",1,Portland Trail Blazers,W,107,104,11,2,W 1
"Thu, Nov 30, 1995",1,Vancouver Grizzlies,W,94,88,12,2,W 2
"Sat, Dec 2, 1995",1,Los Angeles Clippers,W,104,98,13,2,W 3
"Wed, Dec 6, 1995",0,New York Knicks,W,101,94,14,2,W 4
"Fri, Dec 8, 1995",0,San Antonio Spurs,W,106,87,15,2,W 5
"Sat, Dec 9, 1995",1,Milwaukee Bucks,W,118,106,16,2,W 6
"Wed, Dec 13, 1995",0,Orlando Magic,W,112,103,17,2,W 7
"Thu, Dec 14, 1995",1,Atlanta Hawks,W,127,108,18,2,W 8
"Sat, Dec 16, 1995",0,Los Angeles Lakers,W,108,88,19,2,W 9
"Mon, Dec 18, 1995",1,Boston Celtics,W,123,114,20,2,W 10
"Tue, Dec 19, 1995",0,Dallas Mavericks,W,114,101,21,2,W 11
"Fri, Dec 22, 1995",0,Toronto Raptors,W,113,104,22,2,W 12
"Sat, Dec 23, 1995",0,Utah Jazz,W,100,86,23,2,W 13
"Tue, Dec 26, 1995",1,Indiana Pacers,L,97,103,23,3,L 1
"Fri, Dec 29, 1995",0,Indiana Pacers,W,120,93,24,3,W 1
"Sat, Dec 30, 1995",0,Atlanta Hawks,W,95,93,25,3,W 2
"Wed, Jan 3, 1996",0,Houston Rockets,W,100,86,26,3,W 3
"Thu, Jan 4, 1996",1,Charlotte Hornets,W,117,93,27,3,W 4
"Sat, Jan 6, 1996",0,Milwaukee Bucks,W,113,84,28,3,W 5
"Wed, Jan 10, 1996",0,Seattle SuperSonics,W,113,87,29,3,W 6
"Sat, Jan 13, 1996",1,Philadelphia 76ers,W,120,93,30,3,W 7
"Mon, Jan 15, 1996",1,Washington Bullets,W,116,109,31,3,W 8
"Tue, Jan 16, 1996",0,Philadelphia 76ers,W,116,104,32,3,W 9
"Thu, Jan 18, 1996",1,Toronto Raptors,W,92,89,33,3,W 10
"Sun, Jan 21, 1996",1,Detroit Pistons,W,111,96,34,3,W 11
"Tue, Jan 23, 1996",1,New York Knicks,W,99,79,35,3,W 12
"Wed, Jan 24, 1996",0,Vancouver Grizzlies,W,104,84,36,3,W 13
"Fri, Jan 26, 1996",0,Miami Heat,W,102,80,37,3,W 14
"Sun, Jan 28, 1996",0,Phoenix Suns,W,93,82,38,3,W 15
"Tue, Jan 30, 1996",1,Houston Rockets,W,98,87,39,3,W 16
"Thu, Feb 1, 1996",1,Sacramento Kings,W,105,85,40,3,W 17
"Fri, Feb 2, 1996",1,Los Angeles Lakers,W,99,84,41,3,W 18
"Sun, Feb 4, 1996",1,Denver Nuggets,L,99,105,41,4,L 1
"Tue, Feb 6, 1996",1,Phoenix Suns,L,96,106,41,5,L 2
"Wed, Feb 7, 1996",1,Golden State Warriors,W,99,95,42,5,W 1
"Tue, Feb 13, 1996",0,Washington Bullets,W,111,98,43,5,W 2
"Thu, Feb 15, 1996",1,Detroit Pistons,W,112,109,44,5,W 3
"Fri, Feb 16, 1996",1,Minnesota Timberwolves,W,103,100,45,5,W 4
"Sun, Feb 18, 1996",1,Indiana Pacers,W,110,102,46,5,W 5
"Tue, Feb 20, 1996",0,Cleveland Cavaliers,W,102,76,47,5,W 6
"Thu, Feb 22, 1996",1,Atlanta Hawks,W,96,91,48,5,W 7
"Fri, Feb 23, 1996",1,Miami Heat,L,104,113,48,6,L 1
"Sun, Feb 25, 1996",0,Orlando Magic,W,111,91,49,6,W 1
"Tue, Feb 27, 1996",0,Minnesota Timberwolves,W,120,99,50,6,W 2
"Fri, Mar 1, 1996",0,Golden State Warriors,W,110,87,51,6,W 3
"Sat, Mar 2, 1996",0,Boston Celtics,W,107,75,52,6,W 4
"Tue, Mar 5, 1996",0,Milwaukee Bucks,W,115,106,53,6,W 5
"Thu, Mar 7, 1996",0,Detroit Pistons,W,102,81,54,6,W 6
"Sun, Mar 10, 1996",1,New York Knicks,L,72,104,54,7,L 1
"Wed, Mar 13, 1996",0,Washington Bullets,W,103,86,55,7,W 1
